Baseline001 Log

{"modes_x": 6, "modes_t": 12, "width": 64, "q_width": 128, "batch_size": 10, "epochs": 300, "learning_rate": 0.001, "scheduler_step": 30, "scheduler_gamma": 0.5, "weight_decay": 0.001, "random_seed": 10}
4754369

Epoch: 0     	 Learning Rate: 1.00e-03 	Train Loss:  9.859e+00                     Validation Loss:  7.900e+00
Epoch: 1     	 Learning Rate: 1.00e-03 	Train Loss:  5.444e+00                     Validation Loss:  4.417e+00
Epoch: 2     	 Learning Rate: 1.00e-03 	Train Loss:  4.389e+00                     Validation Loss:  2.459e+00
Epoch: 3     	 Learning Rate: 1.00e-03 	Train Loss:  4.173e+00                     Validation Loss:  3.556e+00
Epoch: 4     	 Learning Rate: 1.00e-03 	Train Loss:  4.056e+00                     Validation Loss:  3.774e+00
Epoch: 5     	 Learning Rate: 1.00e-03 	Train Loss:  3.495e+00                     Validation Loss:  7.560e+00
Epoch: 6     	 Learning Rate: 1.00e-03 	Train Loss:  4.208e+00                     Validation Loss:  3.004e+00
Epoch: 7     	 Learning Rate: 1.00e-03 	Train Loss:  2.806e+00                     Validation Loss:  2.015e+00
Epoch: 8     	 Learning Rate: 1.00e-03 	Train Loss:  2.849e+00                     Validation Loss:  5.529e+00
Epoch: 9     	 Learning Rate: 1.00e-03 	Train Loss:  3.074e+00                     Validation Loss:  2.699e+00
Epoch: 10    	 Learning Rate: 1.00e-03 	Train Loss:  2.829e+00                     Validation Loss:  2.213e+00
Epoch: 11    	 Learning Rate: 1.00e-03 	Train Loss:  2.677e+00                     Validation Loss:  1.695e+00
Epoch: 12    	 Learning Rate: 1.00e-03 	Train Loss:  2.261e+00                     Validation Loss:  3.962e+00
Epoch: 13    	 Learning Rate: 1.00e-03 	Train Loss:  2.647e+00                     Validation Loss:  2.332e+00
Epoch: 14    	 Learning Rate: 1.00e-03 	Train Loss:  2.587e+00                     Validation Loss:  1.792e+00
Epoch: 15    	 Learning Rate: 1.00e-03 	Train Loss:  1.995e+00                     Validation Loss:  2.258e+00
Epoch: 16    	 Learning Rate: 1.00e-03 	Train Loss:  2.079e+00                     Validation Loss:  6.363e+00
Epoch: 17    	 Learning Rate: 1.00e-03 	Train Loss:  2.450e+00                     Validation Loss:  2.668e+00
Epoch: 18    	 Learning Rate: 1.00e-03 	Train Loss:  2.219e+00                     Validation Loss:  1.540e+00
Epoch: 19    	 Learning Rate: 1.00e-03 	Train Loss:  1.782e+00                     Validation Loss:  1.580e+00
Epoch: 20    	 Learning Rate: 1.00e-03 	Train Loss:  1.753e+00                     Validation Loss:  1.698e+00
Epoch: 21    	 Learning Rate: 1.00e-03 	Train Loss:  1.724e+00                     Validation Loss:  2.035e+00
Epoch: 22    	 Learning Rate: 1.00e-03 	Train Loss:  1.611e+00                     Validation Loss:  2.643e+00
Epoch: 23    	 Learning Rate: 1.00e-03 	Train Loss:  1.733e+00                     Validation Loss:  2.604e+00
Epoch: 24    	 Learning Rate: 1.00e-03 	Train Loss:  1.984e+00                     Validation Loss:  3.810e+00
Epoch: 25    	 Learning Rate: 1.00e-03 	Train Loss:  1.956e+00                     Validation Loss:  2.230e+00
Epoch: 26    	 Learning Rate: 1.00e-03 	Train Loss:  1.564e+00                     Validation Loss:  1.225e+00
