FNO001 Log

{"modes_x": 6, "modes_t": 12, "width": 64, "q_width": 128, "batch_size": 10, "epochs": 300, "learning_rate": 0.001, "scheduler_step": 30, "scheduler_gamma": 0.5, "weight_decay": 0.001, "random_seed": 10}
4754369

Epoch: 0     	 Learning Rate: 1.00e-03 	Train Loss:  1.028e+01                     Validation Loss:  9.801e+00
Epoch: 1     	 Learning Rate: 1.00e-03 	Train Loss:  4.376e+00                     Validation Loss:  2.920e+00
Epoch: 2     	 Learning Rate: 1.00e-03 	Train Loss:  4.049e+00                     Validation Loss:  4.669e+00
Epoch: 3     	 Learning Rate: 1.00e-03 	Train Loss:  3.744e+00                     Validation Loss:  6.283e+00
Epoch: 4     	 Learning Rate: 1.00e-03 	Train Loss:  3.285e+00                     Validation Loss:  3.473e+00
Epoch: 5     	 Learning Rate: 1.00e-03 	Train Loss:  2.896e+00                     Validation Loss:  2.150e+00
Epoch: 6     	 Learning Rate: 1.00e-03 	Train Loss:  2.774e+00                     Validation Loss:  1.920e+00
Epoch: 7     	 Learning Rate: 1.00e-03 	Train Loss:  2.813e+00                     Validation Loss:  3.780e+00
Epoch: 8     	 Learning Rate: 1.00e-03 	Train Loss:  2.528e+00                     Validation Loss:  4.546e+00
Epoch: 9     	 Learning Rate: 1.00e-03 	Train Loss:  2.373e+00                     Validation Loss:  2.628e+00
Epoch: 10    	 Learning Rate: 1.00e-03 	Train Loss:  1.938e+00                     Validation Loss:  1.917e+00
Epoch: 11    	 Learning Rate: 1.00e-03 	Train Loss:  1.950e+00                     Validation Loss:  2.396e+00
Epoch: 12    	 Learning Rate: 1.00e-03 	Train Loss:  1.617e+00                     Validation Loss:  1.274e+00
Epoch: 13    	 Learning Rate: 1.00e-03 	Train Loss:  1.569e+00                     Validation Loss:  1.636e+00
Epoch: 14    	 Learning Rate: 1.00e-03 	Train Loss:  1.607e+00                     Validation Loss:  8.136e-01
Epoch: 15    	 Learning Rate: 1.00e-03 	Train Loss:  1.525e+00                     Validation Loss:  1.267e+00
Epoch: 16    	 Learning Rate: 1.00e-03 	Train Loss:  1.177e+00                     Validation Loss:  1.350e+00
Epoch: 17    	 Learning Rate: 1.00e-03 	Train Loss:  1.166e+00                     Validation Loss:  1.276e+00
Epoch: 18    	 Learning Rate: 1.00e-03 	Train Loss:  1.129e+00                     Validation Loss:  1.033e+00
Epoch: 19    	 Learning Rate: 1.00e-03 	Train Loss:  1.090e+00                     Validation Loss:  8.132e-01
Epoch: 20    	 Learning Rate: 1.00e-03 	Train Loss:  1.247e+00                     Validation Loss:  8.379e-01
Epoch: 21    	 Learning Rate: 1.00e-03 	Train Loss:  1.222e+00                     Validation Loss:  8.138e-01
Epoch: 22    	 Learning Rate: 1.00e-03 	Train Loss:  8.639e-01                     Validation Loss:  4.791e-01
Epoch: 23    	 Learning Rate: 1.00e-03 	Train Loss:  9.176e-01                     Validation Loss:  1.238e+00
Epoch: 24    	 Learning Rate: 1.00e-03 	Train Loss:  1.046e+00                     Validation Loss:  5.364e-01
Epoch: 25    	 Learning Rate: 1.00e-03 	Train Loss:  8.134e-01                     Validation Loss:  5.547e-01
Epoch: 26    	 Learning Rate: 1.00e-03 	Train Loss:  9.919e-01                     Validation Loss:  1.289e+00
Epoch: 27    	 Learning Rate: 1.00e-03 	Train Loss:  1.017e+00                     Validation Loss:  5.012e-01
Epoch: 28    	 Learning Rate: 1.00e-03 	Train Loss:  7.392e-01                     Validation Loss:  4.919e-01
Epoch: 29    	 Learning Rate: 5.00e-04 	Train Loss:  7.549e-01                     Validation Loss:  3.894e-01
Epoch: 30    	 Learning Rate: 5.00e-04 	Train Loss:  5.718e-01                     Validation Loss:  4.678e-01
Epoch: 31    	 Learning Rate: 5.00e-04 	Train Loss:  4.854e-01                     Validation Loss:  3.492e-01
Epoch: 32    	 Learning Rate: 5.00e-04 	Train Loss:  3.549e-01                     Validation Loss:  2.289e-01
Epoch: 33    	 Learning Rate: 5.00e-04 	Train Loss:  4.185e-01                     Validation Loss:  2.852e-01
Epoch: 34    	 Learning Rate: 5.00e-04 	Train Loss:  3.748e-01                     Validation Loss:  2.547e-01
Epoch: 35    	 Learning Rate: 5.00e-04 	Train Loss:  3.242e-01                     Validation Loss:  2.928e-01
Epoch: 36    	 Learning Rate: 5.00e-04 	Train Loss:  3.231e-01                     Validation Loss:  2.806e-01
Epoch: 37    	 Learning Rate: 5.00e-04 	Train Loss:  3.265e-01                     Validation Loss:  2.903e-01
Epoch: 38    	 Learning Rate: 5.00e-04 	Train Loss:  3.571e-01                     Validation Loss:  2.531e-01
Epoch: 39    	 Learning Rate: 5.00e-04 	Train Loss:  3.786e-01                     Validation Loss:  5.462e-01
Epoch: 40    	 Learning Rate: 5.00e-04 	Train Loss:  4.682e-01                     Validation Loss:  1.688e+00
Epoch: 41    	 Learning Rate: 5.00e-04 	Train Loss:  3.246e-01                     Validation Loss:  2.728e-01
Epoch: 42    	 Learning Rate: 5.00e-04 	Train Loss:  3.909e-01                     Validation Loss:  2.180e-01
Epoch: 43    	 Learning Rate: 5.00e-04 	Train Loss:  3.012e-01                     Validation Loss:  3.003e-01
Epoch: 44    	 Learning Rate: 5.00e-04 	Train Loss:  4.238e-01                     Validation Loss:  2.520e-01
Epoch: 45    	 Learning Rate: 5.00e-04 	Train Loss:  3.484e-01                     Validation Loss:  3.421e-01
Epoch: 46    	 Learning Rate: 5.00e-04 	Train Loss:  3.801e-01                     Validation Loss:  2.112e-01
Epoch: 47    	 Learning Rate: 5.00e-04 	Train Loss:  3.674e-01                     Validation Loss:  2.376e-01
Epoch: 48    	 Learning Rate: 5.00e-04 	Train Loss:  3.628e-01                     Validation Loss:  3.097e-01
Epoch: 49    	 Learning Rate: 5.00e-04 	Train Loss:  2.928e-01                     Validation Loss:  2.451e-01
Epoch: 50    	 Learning Rate: 5.00e-04 	Train Loss:  3.619e-01                     Validation Loss:  3.921e-01
Epoch: 51    	 Learning Rate: 5.00e-04 	Train Loss:  4.958e-01                     Validation Loss:  3.630e-01
Epoch: 52    	 Learning Rate: 5.00e-04 	Train Loss:  3.534e-01                     Validation Loss:  2.634e-01
Epoch: 53    	 Learning Rate: 5.00e-04 	Train Loss:  3.560e-01                     Validation Loss:  2.335e-01
Epoch: 54    	 Learning Rate: 5.00e-04 	Train Loss:  3.218e-01                     Validation Loss:  2.701e-01
Epoch: 55    	 Learning Rate: 5.00e-04 	Train Loss:  4.716e-01                     Validation Loss:  2.630e-01
Epoch: 56    	 Learning Rate: 5.00e-04 	Train Loss:  3.238e-01                     Validation Loss:  3.843e-01
Epoch: 57    	 Learning Rate: 5.00e-04 	Train Loss:  6.052e-01                     Validation Loss:  3.572e-01
Epoch: 58    	 Learning Rate: 5.00e-04 	Train Loss:  3.463e-01                     Validation Loss:  2.178e-01
Epoch: 59    	 Learning Rate: 2.50e-04 	Train Loss:  3.633e-01                     Validation Loss:  6.698e-01
Epoch: 60    	 Learning Rate: 2.50e-04 	Train Loss:  3.400e-01                     Validation Loss:  1.455e-01
Epoch: 61    	 Learning Rate: 2.50e-04 	Train Loss:  2.097e-01                     Validation Loss:  1.668e-01
Epoch: 62    	 Learning Rate: 2.50e-04 	Train Loss:  2.393e-01                     Validation Loss:  2.542e-01
Epoch: 63    	 Learning Rate: 2.50e-04 	Train Loss:  2.260e-01                     Validation Loss:  1.404e-01
Epoch: 64    	 Learning Rate: 2.50e-04 	Train Loss:  2.032e-01                     Validation Loss:  1.518e-01
Epoch: 65    	 Learning Rate: 2.50e-04 	Train Loss:  1.966e-01                     Validation Loss:  1.590e-01
Epoch: 66    	 Learning Rate: 2.50e-04 	Train Loss:  1.700e-01                     Validation Loss:  1.601e-01
Epoch: 67    	 Learning Rate: 2.50e-04 	Train Loss:  2.285e-01                     Validation Loss:  1.969e-01
Epoch: 68    	 Learning Rate: 2.50e-04 	Train Loss:  1.716e-01                     Validation Loss:  1.664e-01
Epoch: 69    	 Learning Rate: 2.50e-04 	Train Loss:  1.800e-01                     Validation Loss:  1.405e-01
Epoch: 70    	 Learning Rate: 2.50e-04 	Train Loss:  2.478e-01                     Validation Loss:  1.715e-01
Epoch: 71    	 Learning Rate: 2.50e-04 	Train Loss:  1.930e-01                     Validation Loss:  2.229e-01
Epoch: 72    	 Learning Rate: 2.50e-04 	Train Loss:  2.056e-01                     Validation Loss:  1.323e-01
Epoch: 73    	 Learning Rate: 2.50e-04 	Train Loss:  1.637e-01                     Validation Loss:  1.299e-01
Epoch: 74    	 Learning Rate: 2.50e-04 	Train Loss:  1.704e-01                     Validation Loss:  1.486e-01
Epoch: 75    	 Learning Rate: 2.50e-04 	Train Loss:  1.922e-01                     Validation Loss:  1.527e-01
Epoch: 76    	 Learning Rate: 2.50e-04 	Train Loss:  2.326e-01                     Validation Loss:  3.838e-01
Epoch: 77    	 Learning Rate: 2.50e-04 	Train Loss:  2.825e-01                     Validation Loss:  1.397e-01
Epoch: 78    	 Learning Rate: 2.50e-04 	Train Loss:  1.762e-01                     Validation Loss:  1.562e-01
Epoch: 79    	 Learning Rate: 2.50e-04 	Train Loss:  1.586e-01                     Validation Loss:  1.719e-01
Epoch: 80    	 Learning Rate: 2.50e-04 	Train Loss:  1.854e-01                     Validation Loss:  1.902e-01
Epoch: 81    	 Learning Rate: 2.50e-04 	Train Loss:  2.157e-01                     Validation Loss:  2.611e-01
Epoch: 82    	 Learning Rate: 2.50e-04 	Train Loss:  3.085e-01                     Validation Loss:  2.943e-01
Epoch: 83    	 Learning Rate: 2.50e-04 	Train Loss:  2.443e-01                     Validation Loss:  1.120e-01
Epoch: 84    	 Learning Rate: 2.50e-04 	Train Loss:  1.907e-01                     Validation Loss:  1.540e-01
Epoch: 85    	 Learning Rate: 2.50e-04 	Train Loss:  1.836e-01                     Validation Loss:  2.275e-01
Epoch: 86    	 Learning Rate: 2.50e-04 	Train Loss:  1.909e-01                     Validation Loss:  1.624e-01
Epoch: 87    	 Learning Rate: 2.50e-04 	Train Loss:  2.232e-01                     Validation Loss:  5.047e-01
Epoch: 88    	 Learning Rate: 2.50e-04 	Train Loss:  2.545e-01                     Validation Loss:  1.595e-01
Epoch: 89    	 Learning Rate: 1.25e-04 	Train Loss:  1.924e-01                     Validation Loss:  1.390e-01
Epoch: 90    	 Learning Rate: 1.25e-04 	Train Loss:  1.321e-01                     Validation Loss:  1.075e-01
Epoch: 91    	 Learning Rate: 1.25e-04 	Train Loss:  1.106e-01                     Validation Loss:  1.059e-01
Epoch: 92    	 Learning Rate: 1.25e-04 	Train Loss:  1.293e-01                     Validation Loss:  9.638e-02
Epoch: 93    	 Learning Rate: 1.25e-04 	Train Loss:  1.614e-01                     Validation Loss:  1.258e-01
Epoch: 94    	 Learning Rate: 1.25e-04 	Train Loss:  1.271e-01                     Validation Loss:  1.317e-01
Epoch: 95    	 Learning Rate: 1.25e-04 	Train Loss:  1.174e-01                     Validation Loss:  1.163e-01
Epoch: 96    	 Learning Rate: 1.25e-04 	Train Loss:  1.154e-01                     Validation Loss:  1.026e-01
Epoch: 97    	 Learning Rate: 1.25e-04 	Train Loss:  1.223e-01                     Validation Loss:  1.228e-01
